pathway	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
TCA-GLYOX-BYPASS	39.8775	39.8775	39.8775	24.8782	24.8782	24.8782	44.6805	44.6805	44.6805
TEICHOICACID-PWY	44.0197	44.0197	44.0197	3.0905	3.0905	3.0905	14.1446	14.1446	14.1446
THISYN-PWY	29.1603	29.1603	29.1603	29.6215	29.6215	29.6215	69.0649	69.0649	69.0649
THRESYN-PWY	74.7664	74.7664	74.7664	89.5673	89.5673	89.5673	92.8193	92.8193	92.8193
TRNA-CHARGING-PWY	72.0462	72.0462	72.0462	68.8468	68.8468	68.8468	85.7972	85.7972	85.7972
TRPSYN-PWY	80.0244	80.0244	80.0244	101.7793	101.7793	101.7793	89.2703	89.2703	89.2703
TYRFUMCAT-PWY	9.4242	9.4242	9.4242	5.2173	5.2173	5.2173	21.9639	21.9639	21.9639
UBISYN-PWY	29.1898	29.1898	29.1898	18.2783	18.2783	18.2783	37.73	37.73	37.73
UDPNAGSYN-PWY	70.8981	70.8981	70.8981	79.103	79.103	79.103	67.298	67.298	67.298
VALSYN-PWY	90.8026	90.8026	90.8026	101.9565	101.9565	101.9565	127.6336	127.6336	127.6336
