classification	db_link	observation_name	SC1703-104_TTGCCC-B6TML_L001_R	SC1703-105_CAGTCT-B6TML_L001_R	SC1703-106_TTAAAT-B6TML_L001_R	SC1703-107_AATTGC-B6TML_L001_R	SC1703-108_ACTCGA-B6TML_L001_R	SC1703-109_GTTACC-B6TML_L001_R	SC1703-110_CAGATG-B6TML_L001_R	SC1703-125_TCGCGC-B6TML_L001_R	SC1703-126_TAACTT-B6TML_L001_R	SC1703-127_CTGTAA-B6TML_L001_R	SC1703-128_CCATTG-B6TML_L001_R	SC1703-129_TAGGCT-B6TML_L001_R	SC1703-130_TTCTTG-B6TML_L001_R	SC1703-131_CCGACC-B6TML_L001_R	SC1703-132_TTAGCT-B6TML_L001_R	SC1703-133_CAGAGC-B6TML_L001_R	SC1703-134_AATATG-B6TML_L001_R	SC1703-135_TGAGCA-B6TML_L001_R	SC1703-136_AATCAC-B6TML_L001_R	SC1703-137_GGTAGC-B6TML_L001_R	SC1703-138_CTCTCG-B6TML_L001_R	SC1703-145_AGCGAC-B6TML_L001_R	SC1703-146_GCCAAG-B6TML_L001_R	SC1703-147_AGGTTC-B6TML_L001_R	SC1703-148_TTTTTC-B6TML_L001_R	SC1703-149_GTCGTG-B6TML_L001_R	SC1703-150_GCTATC-B6TML_L001_R	SC1703-151_TATGCG-B6TML_L001_R	SC1703-41_TCGTTC-B6TML_L001_R	SC1703-42_GCGATG-B6TML_L001_R	SC1703-43_ATATAA-B6TML_L001_R	SC1703-44_ATACTG-B6TML_L001_R	SC1703-45_GGAGAG-B6TML_L001_R	SC1703-46_ACGAGA-B6TML_L001_R	SC1703-47_ATTACA-B6TML_L001_R	SC1703-48_TGATTT-B6TML_L001_R	SC1703-49_GGGGTG-B6TML_L001_R	SC1703-50_ACAAAA-B6TML_L001_R	SC1703-51_CTCCAG-B6TML_L001_R	SC1703-52_GGTGTT-B6TML_L001_R	SC1703-53_CGGGAG-B6TML_L001_R	SC1703-54_TGGTAG-B6TML_L001_R	SC1703-62_TGCGGG-B6TML_L001_R	SC1703-63_TCTATG-B6TML_L001_R	SC1703-64_GGACGG-B6TML_L001_R	SC1703-65_AGAGGG-B6TML_L001_R	SC1703-66_ATGAAC-B6TML_L001_R	SC1703-67_TACCTG-B6TML_L001_R	SC1703-68_CTAGAG-B6TML_L001_R	SC1703-83_CTTGCA-B6TML_L001_R	SC1703-84_CATGTT-B6TML_L001_R	SC1703-85_TGGATT-B6TML_L001_R	SC1703-86_AACGCA-B6TML_L001_R	SC1703-87_TTCGAG-B6TML_L001_R	SC1703-88_AAGCTA-B6TML_L001_R	SC1703-89_AGTTTG-B6TML_L001_R	SC1703-90_TCCCCA-B6TML_L001_R	SC1703-91_AACTAG-B6TML_L001_R	SC1703-92_GTTCGC-B6TML_L001_R	SC1703-93_TGCCTT-B6TML_L001_R	SC1703-94_ATAAGA-B6TML_L001_R	SC1703-95_CACACT-B6TML_L001_R	SC1703-96_ACAGTT-B6TML_L001_R
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.5	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.5	EC:3.1.3.5	1622	2655	3589	4431	2316	1361	4252	1603	2642	6997	3595	2613	2831	4235	10325	4502	6668	4724	11776	5769	6871	1519	2207	333	1660	802	1688	534	4723	3120	7722	8562	2880	9099	5138	7941	5008	9572	2947	6158	4227	1311	3290	5300	4762	2394	4865	4850	5516	5148	6018	3268	8347	6128	3674	5517	17799	10160	6862	10640	6158	5544	8137
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.6	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.6	EC:3.1.3.6	624	844	2195	1705	962	1151	1644	3343	2186	14327	3869	2063	5328	4581	3414	3077	2810	1828	2991	4676	3387	213	1140	148	918	338	417	74	3065	1740	3321	9910	1148	4433	4044	3644	2832	2672	1209	1654	1556	1002	1426	3498	1372	1303	2443	2008	2307	5393	6799	2713	11125	6028	3825	10302	5807	7074	6462	6966	5198	4064	5214
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.7	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.7	EC:3.1.3.7	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.70	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.70	EC:3.1.3.70	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.73	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.73	EC:3.1.3.73	6398	11903	12098	15780	8058	4805	9030	5499	5470	19865	7864	5464	7466	8799	15110	11561	9950	23924	8326	13722	18338	7679	4964	6143	9466	4919	7593	4217	6681	4633	8611	14030	4300	5645	8970	9197	9769	6208	7568	9835	8161	12869	10412	11588	7268	11280	16062	8407	12854	8742	9803	8818	13753	10432	7247	12328	13573	18340	27860	14453	14051	17836	13793
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.81	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.81	EC:3.1.3.81	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.82	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.82	EC:3.1.3.82	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.83	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.83	EC:3.1.3.83	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.89	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.89	EC:3.1.3.89	1650	2155	3048	4066	2202	1179	1974	4406	8748	8418	9733	12703	2283	9804	8237	5187	5469	4342	10538	6242	7988	936	2378	555	1190	534	1121	1126	8214	2674	9542	7348	7638	4745	13554	12633	8263	5452	12533	13935	9500	14124	2162	4122	2130	1697	5935	2252	1748	6940	7825	17133	5076	17030	8458	9722	12549	18525	13910	20391	13274	18006	12628
Hydrolases;Acting on ester bonds;Phosphoric-diester hydrolases;EC:3.1.4.14	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.4.14	EC:3.1.4.14	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
