classification	db_link	observation_name	SC1703-104_TTGCCC-B6TML_L001_R	SC1703-105_CAGTCT-B6TML_L001_R	SC1703-106_TTAAAT-B6TML_L001_R	SC1703-107_AATTGC-B6TML_L001_R	SC1703-108_ACTCGA-B6TML_L001_R	SC1703-109_GTTACC-B6TML_L001_R	SC1703-110_CAGATG-B6TML_L001_R	SC1703-125_TCGCGC-B6TML_L001_R	SC1703-126_TAACTT-B6TML_L001_R	SC1703-127_CTGTAA-B6TML_L001_R	SC1703-128_CCATTG-B6TML_L001_R	SC1703-129_TAGGCT-B6TML_L001_R	SC1703-130_TTCTTG-B6TML_L001_R	SC1703-131_CCGACC-B6TML_L001_R	SC1703-132_TTAGCT-B6TML_L001_R	SC1703-133_CAGAGC-B6TML_L001_R	SC1703-134_AATATG-B6TML_L001_R	SC1703-135_TGAGCA-B6TML_L001_R	SC1703-136_AATCAC-B6TML_L001_R	SC1703-137_GGTAGC-B6TML_L001_R	SC1703-138_CTCTCG-B6TML_L001_R	SC1703-145_AGCGAC-B6TML_L001_R	SC1703-146_GCCAAG-B6TML_L001_R	SC1703-147_AGGTTC-B6TML_L001_R	SC1703-148_TTTTTC-B6TML_L001_R	SC1703-149_GTCGTG-B6TML_L001_R	SC1703-150_GCTATC-B6TML_L001_R	SC1703-151_TATGCG-B6TML_L001_R	SC1703-41_TCGTTC-B6TML_L001_R	SC1703-42_GCGATG-B6TML_L001_R	SC1703-43_ATATAA-B6TML_L001_R	SC1703-44_ATACTG-B6TML_L001_R	SC1703-45_GGAGAG-B6TML_L001_R	SC1703-46_ACGAGA-B6TML_L001_R	SC1703-47_ATTACA-B6TML_L001_R	SC1703-48_TGATTT-B6TML_L001_R	SC1703-49_GGGGTG-B6TML_L001_R	SC1703-50_ACAAAA-B6TML_L001_R	SC1703-51_CTCCAG-B6TML_L001_R	SC1703-52_GGTGTT-B6TML_L001_R	SC1703-53_CGGGAG-B6TML_L001_R	SC1703-54_TGGTAG-B6TML_L001_R	SC1703-62_TGCGGG-B6TML_L001_R	SC1703-63_TCTATG-B6TML_L001_R	SC1703-64_GGACGG-B6TML_L001_R	SC1703-65_AGAGGG-B6TML_L001_R	SC1703-66_ATGAAC-B6TML_L001_R	SC1703-67_TACCTG-B6TML_L001_R	SC1703-68_CTAGAG-B6TML_L001_R	SC1703-83_CTTGCA-B6TML_L001_R	SC1703-84_CATGTT-B6TML_L001_R	SC1703-85_TGGATT-B6TML_L001_R	SC1703-86_AACGCA-B6TML_L001_R	SC1703-87_TTCGAG-B6TML_L001_R	SC1703-88_AAGCTA-B6TML_L001_R	SC1703-89_AGTTTG-B6TML_L001_R	SC1703-90_TCCCCA-B6TML_L001_R	SC1703-91_AACTAG-B6TML_L001_R	SC1703-92_GTTCGC-B6TML_L001_R	SC1703-93_TGCCTT-B6TML_L001_R	SC1703-94_ATAAGA-B6TML_L001_R	SC1703-95_CACACT-B6TML_L001_R	SC1703-96_ACAGTT-B6TML_L001_R
Transferases;Transferring one-carbon groups;Hydroxymethyl-, formyl- and related transferases;EC:2.1.2.10	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.2.10	EC:2.1.2.10	274	508	1185	1185	682	475	1012	1233	1204	5327	1857	1167	2034	2199	2768	1713	1268	808	1313	2212	1971	191	744	96	470	274	317	52	1947	1214	2759	4616	1006	3381	2294	1600	1608	2466	671	912	792	460	710	1760	780	607	1271	1272	1053	2625	3199	1487	4849	3030	1869	3952	2085	3172	2686	3656	2488	2242	2382
Transferases;Transferring one-carbon groups;Hydroxymethyl-, formyl- and related transferases;EC:2.1.2.11	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.2.11	EC:2.1.2.11	4276	8963	9129	12120	5750	2508	4998	242	765	879	964	775	424	1048	7779	4106	5192	4176	10420	3477	9029	2656	3674	3553	4550	2946	5707	2544	1394	960	2487	1981	944	2864	1434	5870	2408	4746	1894	4719	3113	678	8047	3258	4696	6532	9087	4914	9943	1320	2015	933	1873	1584	948	806	15714	6920	5944	5371	2620	2132	5044
Transferases;Transferring one-carbon groups;Hydroxymethyl-, formyl- and related transferases;EC:2.1.2.13	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.2.13	EC:2.1.2.13	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Transferring one-carbon groups;Hydroxymethyl-, formyl- and related transferases;EC:2.1.2.2	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.2.2	EC:2.1.2.2	7543	14696	14168	19088	9518	5286	11380	6681	19874	33919	31178	34278	15700	33892	22748	14732	16544	29649	23994	17352	25416	8896	6255	6416	10166	5202	8800	4708	11583	5558	13336	12264	11329	8799	18011	20258	15362	12267	16238	19622	13887	18116	12150	13956	10639	12539	18378	10790	15907	10850	11032	20034	14678	21854	10984	12016	33816	32839	32724	30052	23492	28670	24074
Transferases;Transferring one-carbon groups;Hydroxymethyl-, formyl- and related transferases;EC:2.1.2.3	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.2.3	EC:2.1.2.3	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Transferases;Transferring one-carbon groups;Hydroxymethyl-, formyl- and related transferases;EC:2.1.2.9	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.2.9	EC:2.1.2.9	8416	15656	14028	19298	9389	5423	12214	5461	18683	28607	29356	33121	13690	31714	22646	13747	19684	32162	32195	16738	25818	9674	5883	6417	10392	4970	9319	5055	9637	4345	10583	7656	10330	5425	15720	23842	15160	12180	17038	22875	15711	18129	13316	13952	12872	13202	19333	11290	18464	8266	7853	18579	9905	18858	9137	8074	46997	34212	32618	29377	22406	27066	25514
Transferases;Transferring one-carbon groups;Carboxy- and carbamoyltransferases;EC:2.1.3.2	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.3.2	EC:2.1.3.2	10646	21679	21398	28222	13773	7246	13454	7609	19691	37629	31411	34055	16973	34094	23294	16730	17107	30420	24791	18504	30254	10234	8663	9758	13750	7653	13187	6782	10759	4876	11142	12946	10470	6472	17478	20810	14983	10010	16126	19465	13946	18214	17974	14543	11648	17631	24457	12494	22015	11030	12029	19800	16191	21840	11106	14432	35677	34723	36380	30095	23796	28412	24780
Transferases;Transferring one-carbon groups;Carboxy- and carbamoyltransferases;EC:2.1.3.3	https://www.genome.jp/dbget-bin/www_bget?EC:2.1.3.3	EC:2.1.3.3	7676	15661	14826	19658	9575	5497	11078	9377	26321	33117	37241	43495	15328	38718	23476	16477	19187	32400	30878	19888	28972	8805	6477	6504	10124	5023	8737	4739	14826	5102	13661	11846	16626	7288	25958	27023	18781	11426	23171	24904	16941	23054	12022	14521	10620	12705	18272	10332	15752	13202	13041	30695	13012	33176	14870	16486	42034	44251	37184	41975	31945	38016	31423
Transferases;Transferring molybdenum- or tungsten-containing groups;Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors;EC:2.10.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:2.10.1.1	EC:2.10.1.1	2396	3276	2768	3717	1646	1361	4388	204	739	857	921	737	435	1050	7777	2487	9310	6940	19502	4174	6009	2118	1290	264	1640	326	1939	839	1390	956	2490	1985	946	2869	1428	10946	3808	7122	3344	8871	5642	1135	4104	4406	6510	2799	5135	4446	7646	1323	1439	938	1863	1600	935	799	30756	10311	5958	7963	3940	2608	8610
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;EC:2.2.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:2.2.1.1	EC:2.2.1.1	16006	31166	30605	39920	19598	11842	24192	21374	51868	79598	75084	80170	37524	78092	54870	41248	42900	101061	52012	50498	68066	26470	12386	15949	27205	12937	18598	10474	29372	12636	27608	33250	31196	15960	49929	46974	42313	22940	41392	42436	31018	46926	22980	27744	20001	24586	35284	19836	31856	30381	27766	54588	35993	62381	29440	36446	74590	89472	95494	78570	70630	83319	66194
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;EC:2.2.1.2	https://www.genome.jp/dbget-bin/www_bget?EC:2.2.1.2	EC:2.2.1.2	2109	4568	3216	4649	2494	1859	5782	476	1590	1902	1924	2086	882	2400	7734	3012	5925	4165	10774	4504	5310	1684	1578	973	1910	784	2310	796	3134	2625	5004	3968	2602	6066	3048	6390	3417	7282	2428	5278	3484	1227	4361	10026	6971	6010	6764	6877	7188	2690	3252	1978	3951	3378	2108	1860	15980	7256	4450	7162	3731	3435	5820
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;EC:2.2.1.6	https://www.genome.jp/dbget-bin/www_bget?EC:2.2.1.6	EC:2.2.1.6	26244	50550	47978	65568	32998	18013	39714	15027	36606	87216	61982	58484	39870	69821	72840	48294	47224	119009	46938	55184	81425	37210	19134	25944	40932	21226	32560	17372	26086	19276	38148	39140	20457	24407	33664	37408	42882	34153	29360	40184	32819	49444	41844	43012	33344	44470	60896	35456	54912	27494	26606	33334	42974	34318	23284	23498	71879	72735	112880	54794	55608	74224	57414
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;EC:2.2.1.7	https://www.genome.jp/dbget-bin/www_bget?EC:2.2.1.7	EC:2.2.1.7	14262	31087	29110	39164	19148	9640	18136	6712	19391	33399	30669	34293	15424	33286	25816	18617	17149	30716	24695	19120	35350	12085	11335	13854	17854	10539	18681	9189	10563	5340	10905	10324	11130	6296	16818	19945	14394	10088	16030	19138	13699	18335	25216	20770	15540	26508	33218	17664	30021	9852	11259	19412	13592	20640	10467	11570	34306	34195	37332	29008	22585	27798	23686
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;EC:2.2.1.9	https://www.genome.jp/dbget-bin/www_bget?EC:2.2.1.9	EC:2.2.1.9	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.1	EC:2.3.1.1	6296	12888	12444	16766	8425	4537	8838	6490	19148	33077	30292	33551	15289	32863	17637	12973	11641	26030	14006	14776	21780	7747	5337	6249	9222	4918	7697	4268	10194	4604	10852	10286	10388	5937	16588	14496	12960	7524	14365	14916	10861	17454	9922	11307	7142	11010	15469	8116	11871	9568	9613	19128	12891	20288	10071	11228	18326	27073	29346	25070	20955	26700	19286
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.109	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.109	EC:2.3.1.109	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.117	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.117	EC:2.3.1.117	1480	3113	3062	3816	1692	1097	2938	3065	7886	867	7800	10663	426	6863	8284	4535	8042	6668	17346	6093	8455	1238	1686	325	1148	348	1307	512	6020	1450	5287	3528	7172	4206	10790	13105	6818	6264	9208	10529	6490	5789	2453	4106	3962	1954	3488	3120	4307	4875	4827	12441	1832	14420	5690	6036	23932	18399	8637	18906	12124	12648	13103
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.118	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.118	EC:2.3.1.118	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.12	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.12	EC:2.3.1.12	2022	8674	10223	10675	4550	3239	4014	20587	45146	14477	45353	61673	5418	39585	22452	19733	21644	20122	47139	25772	32301	747	5748	1096	2148	716	1641	506	30851	4716	20139	19216	38534	12497	60240	47702	29322	11804	45219	36592	22340	31764	2776	12240	4162	3853	5911	4678	3933	26951	27247	71923	11395	83152	32487	41790	56459	82872	38016	90510	62720	68132	55104
unknown	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.128	EC:2.3.1.128	6048	9552	10452	13717	7360	5058	11234	14004	39269	71174	62100	67535	32501	67523	32530	22742	23448	51504	28151	29016	34334	12316	5792	5086	10982	4532	5563	4066	21967	9688	24417	25159	21048	14903	35242	30327	27500	17332	29208	30686	22292	34960	7134	16668	9678	8399	16684	9726	10255	21517	20800	39492	30006	43290	21638	26076	38023	54741	55971	52839	44172	55184	40377
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.129	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.129	EC:2.3.1.129	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.15	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.15	EC:2.3.1.15	15162	29219	28162	37510	18636	10773	22380	14239	39525	71511	62512	68286	32660	67967	43375	29114	33364	59510	48354	34957	50277	17623	12162	12788	20310	10194	17383	9386	22337	10426	24476	25205	21794	15269	35478	40960	30340	22274	32344	39073	27746	36314	24305	27888	21090	25167	36658	21046	32015	21842	22466	39808	30783	43676	22056	26429	69269	66408	66537	59758	47204	56920	48599
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.157	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.157	EC:2.3.1.157	2986	3807	4614	5732	2943	2189	4180	5701	16752	35120	28300	32208	15056	31628	11226	6597	10741	8250	20891	9072	11108	1917	2949	678	2112	608	2007	1537	8774	2940	9829	10004	7714	5278	14434	18839	10281	7934	14273	18471	12498	14868	4396	6748	5440	3316	8747	4391	5985	8366	9647	17779	13659	18564	9461	12910	29709	25023	18380	25030	16059	19562	17876
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.16	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.16	EC:2.3.1.16	549	1016	2370	2370	1363	950	2025	2466	2408	10654	3714	2334	4068	4398	5536	3426	2535	1615	2626	4424	3942	382	1488	192	941	549	634	104	3894	2429	5518	9232	2011	6762	4589	3200	3217	4933	1342	1824	1584	920	1420	3521	1561	1214	2542	2543	2106	5250	6398	2974	9698	6061	3738	7904	4170	6344	5372	7312	4977	4485	4764
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.174	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.174	EC:2.3.1.174	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.179	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.179	EC:2.3.1.179	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.18	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.18	EC:2.3.1.18	3984	8652	9265	12223	5906	2522	5018	2155	10961	25253	21224	20928	13308	23703	11668	8595	6144	21738	3631	8567	14644	6636	3391	5028	7558	4370	5903	2869	3010	2162	3747	4885	2958	3699	4248	2392	5676	4260	2082	1491	1723	3143	6331	1590	2506	5350	7049	3468	7823	3702	2753	2671	9073	4510	2200	1988	5735	9500	15960	6501	8754	9892	7558
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.180	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.180	EC:2.3.1.180	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.181	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.181	EC:2.3.1.181	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.183	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.183	EC:2.3.1.183	1952	5227	4017	5341	2710	2091	5508	5375	18603	28536	29194	33051	13626	31651	13174	9398	9684	24668	11218	12187	14825	5574	1517	2537	4886	2028	2443	1151	9628	4334	10566	7615	10310	5404	15692	9954	12178	6286	10177	8368	6727	13312	2544	8924	4762	4994	4621	4974	4914	8141	7212	18483	9652	18762	9052	8026	14277	22243	23968	20825	18478	24358	16676
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.19	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.19	EC:2.3.1.19	1192	1477	2172	2008	939	1242	2454	3809	3691	11202	4781	2010	5100	4446	7201	6581	6807	21825	4403	9149	9365	4970	484	1624	4153	1530	1132	745	2735	1728	1828	8206	2162	1894	4567	3750	5898	2098	2197	1679	1990	3480	876	1827	1416	783	1358	1062	2744	5190	4356	2995	8183	5957	3227	7541	8976	11025	16370	7418	10220	10212	9158
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.191	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.191	EC:2.3.1.191	1480	3113	3062	3816	1692	1097	2938	3065	7886	867	7800	10663	426	6863	8284	4535	8042	6668	17346	6093	8455	1238	1686	325	1148	348	1307	512	6020	1450	5287	3528	7172	4206	10790	13105	6818	6264	9208	10529	6490	5789	2453	4106	3962	1954	3488	3120	4307	4875	4827	12441	1832	14420	5690	6036	23932	18399	8637	18906	12124	12648	13103
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.193	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.193	EC:2.3.1.193	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.203	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.203	EC:2.3.1.203	1148	1468	1044	1396	552	612	1846	13	13	15	35	9	24	21	2666	728	4407	3321	9514	1597	2373	969	372	97	697	42	836	399	1	2	6	8	6	7	4	5184	1406	2379	1471	4165	2616	473	1876	1757	3013	1270	2225	1771	3610	41	20	32	76	34	22	11	15266	4545	2580	2981	1403	638	3822
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.210	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.210	EC:2.3.1.210	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.223	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.223	EC:2.3.1.223	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.234	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.234	EC:2.3.1.234	7634	14544	14018	18452	9170	5554	11050	8075	27521	62841	49807	54652	28293	56456	21450	14535	17078	30128	24709	17664	25244	8729	5908	6373	10152	4992	8583	4679	12388	5833	15117	14102	10864	6485	19352	20980	17053	10340	16734	20488	15438	22880	12182	13933	10450	12629	18282	10255	16109	11710	12648	23880	21641	22958	12880	14928	35544	34566	38856	30319	23900	32074	25527
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.241	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.241	EC:2.3.1.241	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.242	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.242	EC:2.3.1.242	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.243	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.243	EC:2.3.1.243	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.28	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.28	EC:2.3.1.28	8327	21186	21736	27264	12449	5927	8703	13183	37091	29938	47327	60935	13090	46967	21841	17360	18569	17410	40999	18752	33526	4352	9155	7528	8964	5648	10910	4907	20728	3227	15483	10028	25407	5928	40250	36072	21763	8911	31751	28890	18607	25966	14798	9674	7565	13325	17479	8397	17136	16591	17859	50946	9102	54122	21987	24729	51434	60333	35679	61723	41459	48412	40013
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.29	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.29	EC:2.3.1.29	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.30	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.30	EC:2.3.1.30	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.35	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.35	EC:2.3.1.35	6196	12548	11764	15842	7884	4400	8141	6312	18435	32250	29441	32832	14902	31856	15192	11942	11144	25733	13532	13796	20516	7568	4792	6179	8976	4676	7430	4226	8806	3652	8374	8318	9454	3082	15168	13918	11964	5161	13963	14375	10452	17265	9570	10416	6657	10752	14784	7212	11444	8326	8214	18254	11180	18757	9180	10450	18102	25852	28548	23068	19822	25369	18320
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.39	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.39	EC:2.3.1.39	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.40	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.40	EC:2.3.1.40	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.41	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.41	EC:2.3.1.41	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Transferases;Acyltransferases;Transferring groups other than aminoacyl groups;EC:2.3.1.46	https://www.genome.jp/dbget-bin/www_bget?EC:2.3.1.46	EC:2.3.1.46	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
