#observation_name	sampleA_R1	sampleB_R1
Cluster_2817	1	0
Cluster_2818	1	0
Cluster_2819	1	0
Cluster_2820	1	0
Cluster_2821	1	0
Cluster_2822	1	0
Cluster_2823	1	0
Cluster_2824	1	0
Cluster_2825	1	0
Cluster_2826	1	0
Cluster_2827	1	0
Cluster_2828	1	0
Cluster_2829	2	0
Cluster_2830	2	0
Cluster_2831	1	0
Cluster_2832	1	0
Cluster_2833	2	0
Cluster_2834	1	0
Cluster_2835	1	0
Cluster_2836	1	0
Cluster_2837	1	0
Cluster_2838	1	0
Cluster_2839	1	0
Cluster_2840	1	0
Cluster_2841	1	0
Cluster_2842	1	0
Cluster_2843	1	0
Cluster_2844	1	0
Cluster_2845	1	0
Cluster_2846	1	0
Cluster_2847	1	0
Cluster_2848	2	0
Cluster_2849	1	0
Cluster_2850	3	0
Cluster_2851	1	0
Cluster_2852	1	0
Cluster_2853	1	0
Cluster_2854	1	0
Cluster_2855	1	0
Cluster_2856	1	0
Cluster_2857	1	0
Cluster_2858	1	0
Cluster_2859	1	0
Cluster_2860	1	0
Cluster_2861	1	0
Cluster_2862	1	0
Cluster_2863	1	0
Cluster_2864	1	0
Cluster_2865	1	0
Cluster_2866	1	0
Cluster_2867	1	0
Cluster_2868	1	0
Cluster_2869	2	0
Cluster_2870	1	0
Cluster_2871	1	0
Cluster_2872	1	0
Cluster_2873	1	0
Cluster_2874	1	0
Cluster_2875	1	0
Cluster_2876	1	0
Cluster_2877	1	0
Cluster_2878	2	0
Cluster_2879	2	0
Cluster_2880	1	0
Cluster_2881	1	0
Cluster_2882	1	0
Cluster_2883	1	0
Cluster_2884	1	0
Cluster_2885	1	0
Cluster_2886	1	0
Cluster_2887	1	0
Cluster_2888	1	0
Cluster_2889	1	0
Cluster_2890	1	0
Cluster_2891	1	0
Cluster_2892	1	0
Cluster_2893	1	0
Cluster_2894	1	0
Cluster_2895	1	0
Cluster_2896	1	0
Cluster_2897	1	0
Cluster_2898	1	0
Cluster_2899	1	0
Cluster_2900	1	0
Cluster_2901	1	0
Cluster_2902	1	0
Cluster_2903	1	0
Cluster_2904	1	0
Cluster_2905	1	0
Cluster_2906	1	0
Cluster_2907	1	0
Cluster_2908	1	0
Cluster_2909	1	0
Cluster_2910	3	0
Cluster_2911	1	0
Cluster_2912	1	0
Cluster_2913	1	0
Cluster_2914	2	0
Cluster_2915	2	0
Cluster_2916	1	0
Cluster_2917	1	0
Cluster_2918	1	0
Cluster_2919	1	0
Cluster_2920	1	0
Cluster_2921	1	0
Cluster_2922	1	0
Cluster_2923	1	0
Cluster_2924	1	0
Cluster_2925	1	0
Cluster_2926	1	0
Cluster_2927	1	0
Cluster_2928	1	0
Cluster_2929	1	0
Cluster_2930	1	0
Cluster_2931	1	0
Cluster_2932	1	0
Cluster_2933	2	0
Cluster_2934	1	0
Cluster_2935	1	0
Cluster_2936	1	0
Cluster_2937	1	0
Cluster_2938	1	0
Cluster_2939	1	0
Cluster_2940	1	0
Cluster_2941	1	0
Cluster_2942	1	0
Cluster_2943	1	0
Cluster_2944	1	0
Cluster_2945	1	0
Cluster_2946	1	0
Cluster_2947	1	0
Cluster_2948	1	0
Cluster_2949	1	0
Cluster_2950	1	0
Cluster_2951	1	0
Cluster_2952	1	0
Cluster_2953	1	0
Cluster_2954	1	0
Cluster_2955	1	0
Cluster_2956	1	0
Cluster_2957	1	0
Cluster_2958	1	0
Cluster_2959	1	0
Cluster_2960	1	0
Cluster_2961	1	0
Cluster_2962	1	0
Cluster_2963	1	0
Cluster_2964	1	0
Cluster_2965	1	0
Cluster_2966	5	0
Cluster_2967	1	0
Cluster_2968	1	0
Cluster_2969	1	0
Cluster_2970	1	0
Cluster_2971	1	0
Cluster_2972	1	0
Cluster_2973	1	0
Cluster_2974	1	0
Cluster_2975	1	0
Cluster_2976	1	0
Cluster_2977	1	0
Cluster_2978	1	0
Cluster_2979	1	0
Cluster_2980	1	0
Cluster_2981	1	0
Cluster_2982	1	0
Cluster_2983	1	0
Cluster_2984	1	0
Cluster_2985	1	0
Cluster_2986	1	0
Cluster_2987	1	0
Cluster_2988	4	0
Cluster_2989	1	0
Cluster_2990	2	0
Cluster_2991	1	0
Cluster_2992	1	0
Cluster_2993	1	0
Cluster_2994	1	0
Cluster_2995	1	0
Cluster_2996	1	0
Cluster_2997	1	0
Cluster_2998	1	0
Cluster_2999	2	0
Cluster_3000	1	0
Cluster_3001	1	0
Cluster_3002	1	0
Cluster_3003	1	0
Cluster_3004	1	0
Cluster_3005	1	0
Cluster_3006	1	0
Cluster_3007	1	0
Cluster_3008	1	0
Cluster_3009	1	0
Cluster_3010	1	0
Cluster_3011	1	0
Cluster_3012	1	0
Cluster_3013	1	0
Cluster_3014	1	0
Cluster_3015	1	0
Cluster_3016	1	0
Cluster_3017	4	0
Cluster_3018	1	0
Cluster_3019	1	0
Cluster_3020	1	0
Cluster_3021	4	0
Cluster_3022	1	0
Cluster_3023	1	0
Cluster_3024	1	0
Cluster_3025	1	0
Cluster_3026	2	0
Cluster_3027	1	0
Cluster_3028	1	0
Cluster_3029	1	0
Cluster_3030	1	0
Cluster_3031	2	0
Cluster_3032	1	0
Cluster_3033	1	0
Cluster_3034	1	0
Cluster_3035	1	0
Cluster_3036	1	0
Cluster_3037	1	0
Cluster_3038	1	0
Cluster_3039	1	0
Cluster_3040	1	0
Cluster_3041	1	0
Cluster_3042	1	0
Cluster_3043	1	0
Cluster_3044	1	0
Cluster_3045	1	0
Cluster_3046	1	0
Cluster_3047	1	0
Cluster_3048	1	0
Cluster_3049	1	0
Cluster_3050	1	0
Cluster_3051	1	0
Cluster_3052	1	0
Cluster_3053	1	0
Cluster_3054	1	0
Cluster_3055	1	0
Cluster_3056	1	0
Cluster_3057	1	0
Cluster_3058	1	0
Cluster_3059	1	0
Cluster_3060	1	0
Cluster_3061	1	0
Cluster_3062	1	0
Cluster_3063	9	0
Cluster_3064	1	0
Cluster_3065	1	0
Cluster_3066	1	0
Cluster_3067	1	0
Cluster_3068	1	0
Cluster_3069	1	0
Cluster_3070	2	0
Cluster_3071	1	0
Cluster_3072	1	0
Cluster_3073	1	0
Cluster_3074	1	0
Cluster_3075	1	0
Cluster_3076	1	0
Cluster_3077	1	0
Cluster_3078	1	0
Cluster_3079	1	0
Cluster_3080	1	0
Cluster_3081	1	0
Cluster_3082	2	0
Cluster_3083	1	0
Cluster_3084	1	0
Cluster_3085	1	0
Cluster_3086	1	0
Cluster_3087	1	0
Cluster_3088	1	0
Cluster_3089	2	0
Cluster_3090	1	0
Cluster_3091	1	0
Cluster_3092	1	0
Cluster_3093	1	0
Cluster_3094	1	0
Cluster_3095	1	0
Cluster_3096	1	0
Cluster_3097	1	0
Cluster_3098	1	0
Cluster_3099	1	0
Cluster_3100	1	0
Cluster_3101	1	0
Cluster_3102	1	0
Cluster_3103	1	0
Cluster_3104	1	0
Cluster_3105	4	0
Cluster_3106	1	0
Cluster_3107	1	0
Cluster_3108	1	0
Cluster_3109	1	0
Cluster_3110	1	0
Cluster_3111	1	0
Cluster_3112	1	0
Cluster_3113	1	0
Cluster_3114	1	0
Cluster_3115	1	0
Cluster_3116	1	0
Cluster_3117	1	0
Cluster_3118	1	0
Cluster_3119	1	0
Cluster_3120	1	0
Cluster_3121	1	0
Cluster_3122	1	0
Cluster_3123	1	0
Cluster_3124	1	0
Cluster_3125	1	0
Cluster_3126	2	0
Cluster_3127	2	0
Cluster_3128	1	0
Cluster_3129	1	0
Cluster_3130	1	0
Cluster_3131	1	0
Cluster_3132	1	0
Cluster_3133	1	0
Cluster_3134	2	0
Cluster_3135	1	0
Cluster_3136	2	0
Cluster_3137	1	0
Cluster_3138	2	0
Cluster_3139	1	0
Cluster_3140	1	0
Cluster_3141	1	0
Cluster_3142	1	0
Cluster_3143	1	0
Cluster_3144	1	0
Cluster_3145	1	0
Cluster_3146	1	0
Cluster_3147	1	0
Cluster_3148	1	0
Cluster_3149	1	0
Cluster_3150	1	0
Cluster_3151	1	0
Cluster_3152	1	0
Cluster_3153	1	0
Cluster_3154	1	0
Cluster_3155	1	0
Cluster_3156	1	0
Cluster_3157	1	0
Cluster_3158	1	0
Cluster_3159	1	0
Cluster_3160	4	0
Cluster_3161	1	0
Cluster_3162	1	0
Cluster_3163	1	0
Cluster_3164	1	0
Cluster_3165	2	0
Cluster_3166	1	0
Cluster_3167	1	0
Cluster_3168	1	0
Cluster_3169	1	0
Cluster_3170	1	0
Cluster_3171	1	0
Cluster_3172	1	0
Cluster_3173	1	0
Cluster_3174	1	0
Cluster_3175	1	0
Cluster_3176	4	0
Cluster_3177	1	0
Cluster_3178	1	0
Cluster_3179	1	0
Cluster_3180	1	0
Cluster_3181	1	0
Cluster_3182	1	0
Cluster_3183	1	0
Cluster_3184	1	0
Cluster_3185	1	0
Cluster_3186	1	0
Cluster_3187	1	0
Cluster_3188	1	0
Cluster_3189	1	0
Cluster_3190	1	0
Cluster_3191	3	0
Cluster_3192	1	0
Cluster_3193	2	0
Cluster_3194	1	0
Cluster_3195	1	0
Cluster_3196	1	0
Cluster_3197	1	0
Cluster_3198	1	0
Cluster_3199	2	0
Cluster_3200	1	0
Cluster_3201	1	0
Cluster_3202	1	0
Cluster_3203	1	0
Cluster_3204	1	0
Cluster_3205	21	0
Cluster_3206	1	0
Cluster_3207	1	0
Cluster_3208	1	0
Cluster_3209	1	0
Cluster_3210	1	0
Cluster_3211	1	0
Cluster_3212	1	0
Cluster_3213	1	0
Cluster_3214	1	0
Cluster_3215	1	0
Cluster_3216	1	0
Cluster_3217	1	0
Cluster_3218	1	0
Cluster_3219	1	0
Cluster_3220	1	0
Cluster_3221	1	0
Cluster_3222	1	0
Cluster_3223	1	0
Cluster_3224	1	0
Cluster_3225	1	0
Cluster_3226	1	0
Cluster_3227	1	0
Cluster_3228	3	0
Cluster_3229	1	0
Cluster_3230	1	0
Cluster_3231	1	0
Cluster_3232	1	0
Cluster_3233	2	0
Cluster_3234	1	0
Cluster_3235	1	0
Cluster_3236	1	0
Cluster_3237	1	0
Cluster_3238	1	0
Cluster_3239	1	0
Cluster_3240	1	0
Cluster_3241	1	0
Cluster_3242	1	0
Cluster_3243	1	0
Cluster_3244	1	0
Cluster_3245	1	0
Cluster_3246	1	0
Cluster_3247	1	0
Cluster_3248	3	0
Cluster_3249	1	0
Cluster_3250	1	0
Cluster_3251	2	0
Cluster_3252	1	0
Cluster_3253	1	0
Cluster_3254	1	0
Cluster_3255	1	0
Cluster_3256	1	0
Cluster_3257	2	0
Cluster_3258	3	0
Cluster_3259	1	0
Cluster_3260	1	0
Cluster_3261	1	0
Cluster_3262	1	0
Cluster_3263	1	0
Cluster_3264	1	0
Cluster_3265	1	0
Cluster_3266	1	0
Cluster_3267	1	0
Cluster_3268	1	0
Cluster_3269	1	0
Cluster_3270	1	0
Cluster_3271	1	0
Cluster_3272	1	0
Cluster_3273	1	0
Cluster_3274	1	0
Cluster_3275	1	0
Cluster_3276	1	0
Cluster_3277	1	0
Cluster_3278	1	0
Cluster_3279	1	0
Cluster_3280	1	0
Cluster_3281	1	0
Cluster_3282	1	0
Cluster_3283	1	0
Cluster_3284	1	0
Cluster_3285	1	0
Cluster_3286	1	0
Cluster_3287	1	0
Cluster_3288	1	0
Cluster_3289	1	0
Cluster_3290	2	0
Cluster_3291	1	0
Cluster_3292	1	0
Cluster_3293	1	0
Cluster_3294	1	0
Cluster_3295	1	0
Cluster_3296	1	0
Cluster_3297	1	0
Cluster_3298	1	0
Cluster_3299	1	0
Cluster_3300	1	0
Cluster_3301	1	0
Cluster_3302	1	0
Cluster_3303	1	0
Cluster_3304	1	0
Cluster_3305	1	0
Cluster_3306	1	0
Cluster_3307	2	0
Cluster_3308	1	0
Cluster_3309	1	0
Cluster_3310	1	0
Cluster_3311	1	0
Cluster_3312	1	0
Cluster_3313	1	0
Cluster_3314	1	0
Cluster_3315	1	0
Cluster_3316	1	0
Cluster_3317	1	0
Cluster_3318	1	0
Cluster_3319	2	0
Cluster_3320	1	0
Cluster_3321	1	0
Cluster_3322	1	0
Cluster_3323	1	0
Cluster_3324	1	0
Cluster_3325	1	0
Cluster_3326	1	0
Cluster_3327	2	0
Cluster_3328	1	0
Cluster_3329	2	0
Cluster_3330	1	0
Cluster_3331	1	0
Cluster_3332	1	0
Cluster_3333	1	0
Cluster_3334	1	0
Cluster_3335	1	0
Cluster_3336	2	0
Cluster_3337	1	0
Cluster_3338	1	0
Cluster_3339	1	0
Cluster_3340	1	0
Cluster_3341	1	0
Cluster_3342	1	0
Cluster_3343	1	0
Cluster_3344	2	0
Cluster_3345	1	0
Cluster_3346	1	0
Cluster_3347	1	0
Cluster_3348	1	0
Cluster_3349	1	0
Cluster_3350	4	0
Cluster_3351	1	0
Cluster_3352	1	0
Cluster_3353	1	0
Cluster_3354	1	0
Cluster_3355	1	0
Cluster_3356	1	0
Cluster_3357	1	0
Cluster_3358	1	0
Cluster_3359	1	0
Cluster_3360	1	0
Cluster_3361	1	0
Cluster_3362	2	0
Cluster_3363	1	0
Cluster_3364	1	0
Cluster_3365	1	0
Cluster_3366	2	0
Cluster_3367	1	0
Cluster_3368	1	0
Cluster_3369	1	0
Cluster_3370	1	0
Cluster_3371	1	0
Cluster_3372	1	0
Cluster_3373	1	0
Cluster_3374	1	0
Cluster_3375	1	0
Cluster_3376	1	0
Cluster_3377	1	0
Cluster_3378	1	0
Cluster_3379	1	0
Cluster_3380	1	0
Cluster_3381	1	0
Cluster_3382	1	0
Cluster_3383	1	0
Cluster_3384	1	0
Cluster_3385	1	0
Cluster_3386	1	0
Cluster_3387	2	0
Cluster_3388	1	0
Cluster_3389	1	0
Cluster_3390	1	0
Cluster_3391	1	0
Cluster_3392	1	0
Cluster_3393	1	0
Cluster_3394	1	0
Cluster_3395	1	0
Cluster_3396	1	0
Cluster_3397	1	0
Cluster_3398	1	0
Cluster_3399	1	0
Cluster_3400	1	0
Cluster_3401	2	0
Cluster_3402	1	0
Cluster_3403	1	0
Cluster_3404	1	0
Cluster_3405	1	0
Cluster_3406	2	0
Cluster_3407	1	0
Cluster_3408	1	0
Cluster_3409	1	0
Cluster_3410	1	0
Cluster_3411	1	0
Cluster_3412	1	0
Cluster_3413	1	0
Cluster_3414	2	0
Cluster_3415	1	0
Cluster_3416	1	0
Cluster_3417	1	0
Cluster_3418	1	0
Cluster_3419	1	0
Cluster_3420	1	0
Cluster_3421	1	0
Cluster_3422	1	0
Cluster_3423	1	0
Cluster_3424	1	0
Cluster_3425	1	0
Cluster_3426	1	0
Cluster_3427	1	0
Cluster_3428	3	0
Cluster_3429	1	0
Cluster_3430	1	0
Cluster_3431	11	0
Cluster_3432	1	0
Cluster_3433	1	0
Cluster_3434	1	0
Cluster_3435	1	0
Cluster_3436	1	0
Cluster_3437	1	0
Cluster_3438	1	0
Cluster_3439	1	0
Cluster_3440	1	0
Cluster_3441	1	0
Cluster_3442	2	0
Cluster_3443	1	0
Cluster_3444	1	0
Cluster_3445	1	0
Cluster_3446	1	0
Cluster_3447	1	0
Cluster_3448	1	0
Cluster_3449	1	0
Cluster_3450	1	0
Cluster_3451	1	0
Cluster_3452	1	0
Cluster_3453	1	0
Cluster_3454	1	0
Cluster_3455	1	0
Cluster_3456	1	0
Cluster_3457	2	0
Cluster_3458	1	0
Cluster_3459	1	0
Cluster_3460	1	0
Cluster_3461	1	0
Cluster_3462	1	0
Cluster_3463	1	0
Cluster_3464	1	0
Cluster_3465	1	0
Cluster_3466	2	0
Cluster_3467	1	0
Cluster_3468	1	0
Cluster_3469	1	0
Cluster_3470	1	0
Cluster_3471	1	0
Cluster_3472	1	0
Cluster_3473	1	0
Cluster_3474	1	0
Cluster_3475	1	0
Cluster_3476	1	0
Cluster_3477	1	0
Cluster_3478	1	0
Cluster_3479	1	0
Cluster_3480	1	0
Cluster_3481	1	0
Cluster_3482	1	0
Cluster_3483	1	0
Cluster_3484	1	0
Cluster_3485	1	0
Cluster_3486	1	0
Cluster_3487	1	0
Cluster_3488	2	0
Cluster_3489	1	0
Cluster_3490	1	0
Cluster_3491	1	0
Cluster_3492	1	0
Cluster_3493	1	0
Cluster_3494	1	0
Cluster_3495	1	0
Cluster_3496	1	0
Cluster_3497	1	0
Cluster_3498	1	0
Cluster_3499	1	0
Cluster_3500	1	0
Cluster_3501	1	0
Cluster_3502	1	0
Cluster_3503	1	0
Cluster_3504	1	0
Cluster_3505	1	0
Cluster_3506	1	0
Cluster_3507	1	0
Cluster_3508	2	0
Cluster_3509	2	0
Cluster_3510	1	0
Cluster_3511	1	0
Cluster_3512	1	0
Cluster_3513	1	0
Cluster_3514	1	0
Cluster_3515	1	0
Cluster_3516	1	0
Cluster_3517	1	0
Cluster_3518	1	0
Cluster_3519	7	0
Cluster_3520	1	0
Cluster_3521	1	0
Cluster_3522	1	0
Cluster_3523	1	0
Cluster_3524	1	0
Cluster_3525	1	0
Cluster_3526	1	0
Cluster_3527	1	0
Cluster_3528	1	0
Cluster_3529	1	0
Cluster_3530	1	0
Cluster_3531	1	0
Cluster_3532	5	0
Cluster_3533	1	0
Cluster_3534	1	0
Cluster_3535	2	0
Cluster_3536	4	0
Cluster_3537	1	0
Cluster_3538	1	0
Cluster_3539	1	0
Cluster_3540	1	0
Cluster_3541	5	0
Cluster_3542	1	0
Cluster_3543	2	0
Cluster_3544	1	0
Cluster_3545	1	0
Cluster_3546	1	0
Cluster_3547	1	0
Cluster_3548	1	0
Cluster_3549	1	0
Cluster_3550	2	0
Cluster_3551	1	0
Cluster_3552	1	0
Cluster_3553	1	0
Cluster_3554	1	0
Cluster_3555	3	0
Cluster_3556	1	0
Cluster_3557	1	0
Cluster_3558	1	0
Cluster_3559	1	0
Cluster_3560	1	0
Cluster_3561	1	0
Cluster_3562	1	0
Cluster_3563	1	0
Cluster_3564	1	0
Cluster_3565	1	0
Cluster_3566	1	0
Cluster_3567	1	0
Cluster_3568	1	0
Cluster_3569	1	0
Cluster_3570	1	0
Cluster_3571	1	0
Cluster_3572	1	0
Cluster_3573	1	0
Cluster_3574	1	0
Cluster_3575	1	0
Cluster_3576	1	0
Cluster_3577	1	0
Cluster_3578	1	0
Cluster_3579	1	0
Cluster_3580	1	0
Cluster_3581	1	0
Cluster_3582	1	0
Cluster_3583	1	0
Cluster_3584	1	0
Cluster_3585	1	0
Cluster_3586	1	0
Cluster_3587	1	0
Cluster_3588	1	0
Cluster_3589	1	0
Cluster_3590	1	0
Cluster_3591	1	0
Cluster_3592	1	0
Cluster_3593	1	0
Cluster_3594	2	0
Cluster_3595	1	0
Cluster_3596	1	0
Cluster_3597	1	0
Cluster_3598	1	0
Cluster_3599	1	0
Cluster_3600	1	0
Cluster_3601	1	0
Cluster_3602	1	0
Cluster_3603	3	0
Cluster_3604	1	0
Cluster_3605	1	0
Cluster_3606	1	0
Cluster_3607	1	0
Cluster_3608	1	0
Cluster_3609	1	0
Cluster_3610	1	0
Cluster_3611	1	0
Cluster_3612	1	0
Cluster_3613	1	0
Cluster_3614	1	0
Cluster_3615	1	0
Cluster_3616	1	0
Cluster_3617	2	0
Cluster_3618	1	0
Cluster_3619	1	0
Cluster_3620	1	0
Cluster_3621	3	0
Cluster_3622	2	0
Cluster_3623	1	0
Cluster_3624	1	0
Cluster_3625	1	0
Cluster_3626	1	0
Cluster_3627	1	0
Cluster_3628	1	0
Cluster_3629	1	0
Cluster_3630	1	0
Cluster_3631	1	0
Cluster_3632	1	0
Cluster_3633	1	0
Cluster_3634	1	0
Cluster_3635	1	0
Cluster_3636	1	0
Cluster_3637	1	0
Cluster_3638	1	0
Cluster_3639	1	0
Cluster_3640	1	0
Cluster_3641	1	0
Cluster_3642	1	0
Cluster_3643	1	0
Cluster_3644	1	0
Cluster_3645	1	0
Cluster_3646	1	0
Cluster_3647	1	0
Cluster_3648	1	0
Cluster_3649	1	0
Cluster_3650	1	0
Cluster_3651	1	0
Cluster_3652	1	0
Cluster_3653	1	0
Cluster_3654	1	0
Cluster_3655	1	0
Cluster_3656	1	0
Cluster_3657	1	0
Cluster_3658	1	0
Cluster_3659	4	0
Cluster_3660	1	0
Cluster_3661	1	0
Cluster_3662	1	0
Cluster_3663	1	0
Cluster_3664	2	0
Cluster_3665	1	0
Cluster_3666	1	0
Cluster_3667	2	0
Cluster_3668	1	0
Cluster_3669	1	0
Cluster_3670	1	0
Cluster_3671	1	0
Cluster_3672	1	0
Cluster_3673	1	0
Cluster_3674	1	0
Cluster_3675	1	0
Cluster_3676	2	0
Cluster_3677	1	0
Cluster_3678	1	0
Cluster_3679	1	0
Cluster_3680	1	0
Cluster_3681	1	0
Cluster_3682	1	0
Cluster_3683	1	0
Cluster_3684	1	0
Cluster_3685	1	0
Cluster_3686	1	0
Cluster_3687	1	0
Cluster_3688	1	0
Cluster_3689	1	0
Cluster_3690	1	0
Cluster_3691	1	0
Cluster_3692	1	0
Cluster_3693	1	0
Cluster_3694	2	0
Cluster_3695	1	0
Cluster_3696	2	0
Cluster_3697	1	0
Cluster_3698	1	0
Cluster_3699	3	0
Cluster_3700	1	0
Cluster_3701	1	0
Cluster_3702	1	0
Cluster_3703	2	0
Cluster_3704	1	0
Cluster_3705	1	0
Cluster_3706	1	0
Cluster_3707	1	0
Cluster_3708	2	0
Cluster_3709	2	0
Cluster_3710	1	0
Cluster_3711	3	0
Cluster_3712	1	0
Cluster_3713	2	0
Cluster_3714	1	0
Cluster_3715	1	0
Cluster_3716	1	0
Cluster_3717	1	0
Cluster_3718	2	0
Cluster_3719	1	0
Cluster_3720	1	0
Cluster_3721	1	0
Cluster_3722	1	0
Cluster_3723	1	0
Cluster_3724	1	0
Cluster_3725	1	0
Cluster_3726	1	0
Cluster_3727	2	0
Cluster_3728	1	0
Cluster_3729	1	0
Cluster_3730	1	0
Cluster_3731	1	0
Cluster_3732	1	0
Cluster_3733	1	0
Cluster_3734	1	0
Cluster_3735	1	0
Cluster_3736	1	0
Cluster_3737	1	0
Cluster_3738	1	0
Cluster_3739	3	0
Cluster_3740	1	0
Cluster_3741	1	0
Cluster_3742	1	0
Cluster_3743	1	0
Cluster_3744	2	0
Cluster_3745	1	0
Cluster_3746	1	0
Cluster_3747	1	0
Cluster_3748	1	0
Cluster_3749	1	0
Cluster_3750	1	0
Cluster_3751	1	0
Cluster_3752	1	0
Cluster_3753	1	0
Cluster_3754	1	0
Cluster_3755	1	0
Cluster_3756	1	0
Cluster_3757	1	0
Cluster_3758	1	0
Cluster_3759	1	0
Cluster_3760	1	0
Cluster_3761	1	0
Cluster_3762	1	0
Cluster_3763	1	0
Cluster_3764	1	0
Cluster_3765	1	0
Cluster_3766	1	0
Cluster_3767	1	0
Cluster_3768	1	0
Cluster_3769	1	0
Cluster_3770	1	0
Cluster_3771	1	0
Cluster_3772	2	0
Cluster_3773	1	0
Cluster_3774	1	0
Cluster_3775	2	0
Cluster_3776	1	0
Cluster_3777	1	0
Cluster_3778	1	0
Cluster_3779	1	0
Cluster_3780	1	0
Cluster_3781	1	0
Cluster_3782	1	0
Cluster_3783	1	0
Cluster_3784	1	0
Cluster_3785	1	0
Cluster_3786	1	0
Cluster_3787	1	0
Cluster_3788	1	0
Cluster_3789	1	0
Cluster_3790	1	0
Cluster_3791	1	0
Cluster_3792	1	0
Cluster_3793	1	0
Cluster_3794	1	0
Cluster_3795	1	0
Cluster_3796	1	0
Cluster_3797	1	0
Cluster_3798	1	0
Cluster_3799	1	0
Cluster_3800	1	0
Cluster_3801	1	0
Cluster_3802	1	0
Cluster_3803	1	0
Cluster_3804	1	0
Cluster_3805	1	0
Cluster_3806	1	0
Cluster_3807	3	0
Cluster_3808	1	0
Cluster_3809	1	0
Cluster_3810	1	0
Cluster_3811	1	0
Cluster_3812	1	0
Cluster_3813	1	0
Cluster_3814	1	0
Cluster_3815	1	0
Cluster_3816	1	0
Cluster_3817	1	0
Cluster_3818	1	0
Cluster_3819	1	0
Cluster_3820	1	0
Cluster_3821	1	0
Cluster_3822	1	0
Cluster_3823	1	0
Cluster_3824	1	0
Cluster_3825	1	0
Cluster_3826	1	0
Cluster_3827	2	0
Cluster_3828	1	0
Cluster_3829	1	0
Cluster_3830	1	0
Cluster_3831	1	0
Cluster_3832	1	0
Cluster_3833	1	0
Cluster_3834	1	0
Cluster_3835	1	0
Cluster_3836	1	0
Cluster_3837	2	0
Cluster_3838	1	0
Cluster_3839	1	0
Cluster_3840	1	0
Cluster_3841	1	0
Cluster_3842	1	0
Cluster_3843	1	0
Cluster_3844	2	0
Cluster_3845	1	0
Cluster_3846	1	0
Cluster_3847	1	0
Cluster_3848	1	0
Cluster_3849	1	0
Cluster_3850	1	0
Cluster_3851	1	0
Cluster_3852	1	0
Cluster_3853	1	0
Cluster_3854	1	0
Cluster_3855	1	0
Cluster_3856	1	0
Cluster_3857	1	0
Cluster_3858	1	0
Cluster_3859	1	0
Cluster_3860	1	0
Cluster_3861	1	0
Cluster_3862	1	0
Cluster_3863	1	0
Cluster_3864	1	0
Cluster_3865	1	0
Cluster_3866	1	0
Cluster_3867	1	0
Cluster_3868	1	0
Cluster_3869	1	0
Cluster_3870	1	0
Cluster_3871	1	0
Cluster_3872	1	0
Cluster_3873	1	0
Cluster_3874	1	0
Cluster_3875	1	0
Cluster_3876	1	0
Cluster_3877	1	0
Cluster_3878	1	0
Cluster_3879	2	0
Cluster_3880	1	0
Cluster_3881	1	0
Cluster_3882	1	0
Cluster_3883	1	0
Cluster_3884	1	0
Cluster_3885	1	0
Cluster_3886	1	0
Cluster_3887	1	0
Cluster_3888	1	0
Cluster_3889	1	0
Cluster_3890	1	0
Cluster_3891	1	0
Cluster_3892	1	0
Cluster_3893	1	0
Cluster_3894	1	0
Cluster_3895	1	0
Cluster_3896	1	0
Cluster_3897	1	0
Cluster_3898	1	0
Cluster_3899	1	0
Cluster_3900	1	0
Cluster_3901	1	0
Cluster_3902	4	0
Cluster_3903	1	0
Cluster_3904	1	0
Cluster_3905	1	0
Cluster_3906	1	0
Cluster_3907	1	0
Cluster_3908	1	0
Cluster_3909	1	0
Cluster_3910	1	0
Cluster_3911	1	0
Cluster_3912	1	0
Cluster_3913	1	0
Cluster_3914	1	0
Cluster_3915	2	0
Cluster_3916	1	0
Cluster_3917	1	0
Cluster_3918	1	0
Cluster_3919	1	0
Cluster_3920	1	0
Cluster_3921	1	0
Cluster_3922	1	0
Cluster_3923	1	0
Cluster_3924	2	0
Cluster_3925	1	0
Cluster_3926	1	0
Cluster_3927	3	0
Cluster_3928	2	0
Cluster_3929	1	0
Cluster_3930	1	0
Cluster_3931	1	0
Cluster_3932	1	0
Cluster_3933	1	0
Cluster_3934	1	0
Cluster_3935	1	0
Cluster_3936	1	0
Cluster_3937	1	0
Cluster_3938	1	0
Cluster_3939	1	0
Cluster_3940	1	0
Cluster_3941	2	0
Cluster_3942	1	0
Cluster_3943	1	0
Cluster_3944	1	0
Cluster_3945	1	0
Cluster_3946	1	0
Cluster_3947	1	0
Cluster_3948	1	0
Cluster_3949	1	0
Cluster_3950	1	0
Cluster_3951	1	0
Cluster_3952	1	0
Cluster_3953	3	0
Cluster_3954	1	0
Cluster_3955	1	0
Cluster_3956	1	0
Cluster_3957	1	0
Cluster_3958	1	0
Cluster_3959	2	0
Cluster_3960	1	0
Cluster_3961	1	0
Cluster_3962	1	0
Cluster_3963	1	0
Cluster_3964	1	0
Cluster_3965	1	0
Cluster_3966	1	0
Cluster_3967	1	0
Cluster_3968	1	0
Cluster_3969	1	0
Cluster_3970	1	0
Cluster_3971	1	0
Cluster_3972	1	0
Cluster_3973	1	0
Cluster_3974	1	0
Cluster_3975	1	0
Cluster_3976	1	0
Cluster_3977	3	0
Cluster_3978	1	0
Cluster_3979	1	0
Cluster_3980	1	0
