#observation_name	sampleA_R1	sampleB_R1
Cluster_379	22	0
Cluster_380	5	0
Cluster_381	5	0
Cluster_382	34	0
Cluster_383	6	0
Cluster_384	5	0
Cluster_385	12	0
Cluster_386	10	0
Cluster_387	5	0
Cluster_388	5	0
Cluster_389	8	0
Cluster_390	5	0
Cluster_391	5	0
Cluster_392	5	0
Cluster_393	6	0
Cluster_394	5	0
Cluster_395	6	0
Cluster_396	6	0
Cluster_397	21	0
Cluster_398	5	0
Cluster_399	5	0
Cluster_400	10	0
Cluster_401	6	0
Cluster_402	5	0
Cluster_403	5	0
Cluster_404	5	0
Cluster_405	13	0
Cluster_406	15	0
Cluster_407	5	0
Cluster_408	7	0
Cluster_409	9	0
Cluster_410	5	0
Cluster_411	8	0
Cluster_412	8	0
Cluster_413	6	0
Cluster_414	5	0
Cluster_415	10	0
Cluster_416	5	0
Cluster_417	6	0
Cluster_418	17	0
Cluster_419	4	0
Cluster_420	4	0
Cluster_421	15	0
Cluster_422	4	0
Cluster_423	8	0
Cluster_424	6	0
Cluster_425	4	0
Cluster_426	4	0
Cluster_427	6	0
Cluster_428	6	0
Cluster_429	11	0
Cluster_430	6	0
Cluster_431	61	0
Cluster_432	8	0
Cluster_433	4	0
Cluster_434	4	0
Cluster_435	10	0
Cluster_436	4	0
Cluster_437	4	0
Cluster_438	4	0
Cluster_439	5	100
Cluster_440	6	0
Cluster_441	4	0
Cluster_442	4	0
Cluster_443	6	0
Cluster_444	4	0
Cluster_445	4	0
Cluster_446	6	0
Cluster_447	4	0
Cluster_448	4	0
Cluster_449	5	0
Cluster_450	5	0
Cluster_451	4	0
Cluster_452	15	0
Cluster_453	12	0
Cluster_454	4	0
Cluster_455	4	0
Cluster_456	4	0
Cluster_457	4	0
Cluster_458	4	0
Cluster_459	4	0
Cluster_460	9	0
Cluster_461	4	0
Cluster_462	4	0
Cluster_463	4	0
Cluster_464	5	0
Cluster_465	8	0
Cluster_466	4	0
Cluster_467	4	0
Cluster_468	6	0
Cluster_469	11	0
Cluster_470	5	0
Cluster_471	38	0
Cluster_472	5	0
Cluster_473	5	0
Cluster_474	4	0
Cluster_475	4	0
Cluster_476	5	0
Cluster_477	4	0
Cluster_478	7	0
Cluster_479	7	0
Cluster_480	4	0
Cluster_481	5	0
Cluster_482	5	0
Cluster_483	13	0
Cluster_484	4	0
Cluster_485	4	0
Cluster_486	8	0
Cluster_487	7	0
Cluster_488	4	0
Cluster_489	4	0
Cluster_490	4	0
Cluster_491	4	0
Cluster_492	6	0
Cluster_493	4	0
Cluster_494	4	0
Cluster_495	5	0
Cluster_496	5	0
Cluster_497	4	0
Cluster_498	6	0
Cluster_499	13	0
Cluster_500	19	0
Cluster_501	6	0
Cluster_502	4	0
Cluster_503	8	0
Cluster_504	5	0
Cluster_505	7	0
Cluster_506	9	0
Cluster_507	7	0
Cluster_508	21	0
Cluster_509	6	0
Cluster_510	6	0
Cluster_511	8	0
Cluster_512	6	0
Cluster_513	8	0
Cluster_514	4	0
Cluster_515	4	0
Cluster_516	4	0
Cluster_517	4	0
Cluster_518	7	0
Cluster_519	11	0
Cluster_520	4	0
Cluster_521	4	0
Cluster_522	17	0
Cluster_523	7	0
Cluster_524	7	0
Cluster_525	10	0
Cluster_526	5	0
Cluster_527	4	0
Cluster_528	6	0
Cluster_529	5	0
Cluster_530	18	0
Cluster_531	8	0
Cluster_532	18	0
Cluster_533	38	0
Cluster_534	4	0
Cluster_535	10	0
Cluster_536	4	0
Cluster_537	4	0
Cluster_538	4	0
Cluster_539	7	0
Cluster_540	4	0
Cluster_541	13	0
Cluster_542	5	0
Cluster_543	5	0
Cluster_544	4	0
Cluster_545	6	0
Cluster_546	4	0
Cluster_547	6	0
Cluster_548	4	0
Cluster_549	8	0
Cluster_550	7	0
Cluster_551	9	0
Cluster_552	4	0
Cluster_553	4	0
Cluster_554	4	0
Cluster_555	6	0
Cluster_556	12	0
Cluster_557	6	0
Cluster_558	4	0
Cluster_559	4	0
Cluster_560	5	0
Cluster_561	4	0
Cluster_562	4	0
Cluster_563	7	0
Cluster_564	8	0
Cluster_565	4	0
Cluster_566	5	0
Cluster_567	8	0
Cluster_568	15	0
Cluster_569	5	0
Cluster_570	4	0
Cluster_571	17	0
Cluster_572	16	0
Cluster_573	4	0
Cluster_574	8	0
Cluster_575	5	0
Cluster_576	4	0
Cluster_577	6	0
Cluster_578	15	0
Cluster_579	4	0
Cluster_580	4	0
Cluster_581	6	0
Cluster_582	5	0
Cluster_583	10	0
Cluster_584	4	0
Cluster_585	10	0
Cluster_586	4	0
Cluster_587	5	0
Cluster_588	4	0
Cluster_589	6	0
Cluster_590	6	0
Cluster_591	4	0
Cluster_592	4	0
Cluster_593	4	0
Cluster_594	4	0
Cluster_595	6	0
Cluster_596	3	0
Cluster_597	3	0
Cluster_598	3	0
Cluster_599	8	0
Cluster_600	3	0
Cluster_601	3	0
Cluster_602	5	0
Cluster_603	4	0
Cluster_604	4	0
Cluster_605	4	0
Cluster_606	3	0
Cluster_607	26	0
Cluster_608	3	0
Cluster_609	26	0
Cluster_610	3	0
Cluster_611	7	0
Cluster_612	3	0
Cluster_613	3	0
Cluster_614	4	0
Cluster_615	3	0
Cluster_616	25	0
Cluster_617	3	0
Cluster_618	3	0
Cluster_619	28	0
Cluster_620	5	0
Cluster_621	3	0
Cluster_622	4	0
Cluster_623	3	0
Cluster_624	5	0
Cluster_625	3	0
Cluster_626	3	0
Cluster_627	3	0
Cluster_628	3	0
Cluster_629	3	0
Cluster_630	3	0
Cluster_631	3	0
Cluster_632	3	0
Cluster_633	4	0
Cluster_634	5	0
Cluster_635	3	0
Cluster_636	3	0
Cluster_637	9	0
Cluster_638	6	0
Cluster_639	4	0
Cluster_640	3	0
Cluster_641	3	0
Cluster_642	5	0
Cluster_643	3	0
Cluster_644	3	0
