#id	sampleA_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9256:9113.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11448:9372.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17039:10298.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13781:10283.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7008:8745.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18192:5453.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9538:5818.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16040:6890.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10352:2733.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23114:10031.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18823:8591.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11057:4996.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22722:9725.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9586:6988.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8876:7652.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12238:2743.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18137:2514.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11079:9711.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18344:9333.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17776:10166.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18952:7389.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21609:9039.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8494:8460.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16520:5087.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15721:7552.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17155:9815.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19199:4509.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6232:6869.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24861:10349.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20239:9791.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17213:5756.1	1
