#id	sample1_ITS1	sample2_ITS1
M00842:223:000000000-B33D5:1:1101:25218:9350_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:7098:6215_ITS1	1	0
M00842:223:000000000-B33D5:1:1117:6367:15291_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:18062:16837_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:17288:15228_ITS1	0	1
M00842:223:000000000-B33D5:1:1104:16055:21421_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:9727:21087_ITS1	1	0
M00842:223:000000000-B33D5:1:1110:14491:7734_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:4241:21080_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:4121:9512_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:11786:18693_ITS1	2	0
M00842:223:000000000-B33D5:1:1116:9091:18879_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:12361:23689_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:4616:21165_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:25911:17707_ITS1	1	2
M00842:223:000000000-B33D5:1:1108:8253:24436_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:13194:16243_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:5159:16867_ITS1	0	1
M00842:223:000000000-B33D5:1:1109:3694:11788_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:14078:15740_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:16971:12067_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:3661:10319_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:4652:5605_ITS1	1	0
M00842:223:000000000-B33D5:1:1105:8497:11364_ITS1	2	0
M00842:223:000000000-B33D5:1:1103:26520:10736_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:21713:25037_ITS1	1	2
M00842:223:000000000-B33D5:1:1114:23488:20168_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:19903:10098_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:20886:6615_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:21508:11529_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:25262:23332_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:22029:8870_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:18210:18590_ITS1	1	1
M00842:223:000000000-B33D5:1:1101:22311:13615_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:20242:4869_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:27917:17234_ITS1	1	2
M00842:223:000000000-B33D5:1:1102:7612:7136_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:17198:21531_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:2743:15260_ITS1	0	1
M00842:223:000000000-B33D5:1:1114:26509:4483_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:15440:16009_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:9199:25048_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:26545:11062_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:27087:11562_ITS1	0	1
M00842:223:000000000-B33D5:1:1117:15566:3533_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:18810:7711_ITS1	167	211
M00842:223:000000000-B33D5:1:1102:11005:14974_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:3845:18883_ITS1	1	0
M00842:223:000000000-B33D5:1:1103:13368:6216_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:27290:18815_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:3179:17868_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:13008:9185_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:7388:3155_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:18984:18293_ITS1	0	1
M00842:223:000000000-B33D5:1:1108:13565:18390_ITS1	2	0
M00842:223:000000000-B33D5:1:1114:26196:14209_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:12275:6928_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:25127:15014_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:19736:18258_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:8114:5306_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:10807:16744_ITS1	1	3
M00842:223:000000000-B33D5:1:1104:6382:16034_ITS1	0	2
M00842:223:000000000-B33D5:1:1116:26684:9549_ITS1	0	1
M00842:223:000000000-B33D5:1:1116:26077:11953_ITS1	0	11
M00842:223:000000000-B33D5:1:1116:11695:10818_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:26047:12722_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:6438:4850_ITS1	1	0
M00842:223:000000000-B33D5:1:1119:3619:8483_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:21032:2897_ITS1	0	1
M00842:223:000000000-B33D5:1:1105:14937:23023_ITS1	0	1
M00842:223:000000000-B33D5:1:1107:18326:3623_ITS1	0	1
M00842:223:000000000-B33D5:1:1102:21299:11600_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:27785:13404_ITS1	1	2
M00842:223:000000000-B33D5:1:1108:19438:24009_ITS1	1	0
M00842:223:000000000-B33D5:1:1106:14727:24167_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:5348:18537_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:25825:22494_ITS1	1	1
M00842:223:000000000-B33D5:1:1103:13719:22385_ITS1	1	1
M00842:223:000000000-B33D5:1:1117:23023:18130_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:13520:17458_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:10217:20832_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:8735:24845_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:2016:13739_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:6573:3819_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:18138:6211_ITS1	1	0
M00842:223:000000000-B33D5:1:1112:16844:14033_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:8267:18970_ITS1	0	1
M00842:223:000000000-B33D5:1:1115:3122:8050_ITS1	0	1
M00842:223:000000000-B33D5:1:1118:29654:12712_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:20867:22412_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:16921:3695_ITS1	0	2
M00842:223:000000000-B33D5:1:1110:13905:24913_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:2726:11549_ITS1	0	1
M00842:223:000000000-B33D5:1:1111:14931:3033_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:12274:5296_ITS1	17	10
M00842:223:000000000-B33D5:1:1111:2030:11311_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:20861:14332_ITS1	1	0
M00842:223:000000000-B33D5:1:1102:13774:24750_ITS1	1	0
M00842:223:000000000-B33D5:1:1116:3603:16426_ITS1	0	1
M00842:223:000000000-B33D5:1:1103:5068:8280_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:3714:8045_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:3596:10988_ITS1	1	0
M00842:223:000000000-B33D5:1:1114:3624:16831_ITS1	0	1
M00842:223:000000000-B33D5:1:1110:23220:12297_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:9442:6452_ITS1	1	0
M00842:223:000000000-B33D5:1:1114:3939:10913_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:24088:13730_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:7005:13697_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:2608:17606_ITS1	1	0
M00842:223:000000000-B33D5:1:1115:7761:11420_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:3398:14902_ITS1	1	0
M00842:223:000000000-B33D5:1:1108:27556:17695_ITS1	1	0
M00842:223:000000000-B33D5:1:1111:25469:15588_ITS1	0	1
M00842:223:000000000-B33D5:1:1101:12258:1837_FROGS_combined_ITS1	0	1
M00842:223:000000000-B33D5:1:1113:21686:6506_ITS1	0	1
M00842:223:000000000-B33D5:1:1118:21178:7162_ITS1	0	1
M00842:223:000000000-B33D5:1:1106:6526:20575_ITS1	0	1
M00842:223:000000000-B33D5:1:1117:2776:18227_ITS1	0	2
M00842:223:000000000-B33D5:1:1101:24428:15880_ITS1	1	0
M00842:223:000000000-B33D5:1:1101:6347:5138_ITS1	1	0
M00842:223:000000000-B33D5:1:1104:15261:19553_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:10303:20695_ITS1	0	1
M00842:223:000000000-B33D5:1:1112:8944:10175_ITS1	1	0
M00842:223:000000000-B33D5:1:1109:3352:6871_ITS1	1	1
