#id	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:2103:26493:21186.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:24852:20120.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:24701:21432.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:4843:16158.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:8227:9979.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10497:25660.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:19973:19193.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:24226:12414.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:7601:14875.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:19982:16910.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:9324:13428.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11845:10577.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:15584:20434.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16143:16172.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:15127:21289.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:5278:19196.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:7521:24893.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:4940:21425.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:16127:17851.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:15293:17697.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:27530:9197.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:17454:10318.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:17825:16754.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:3441:16495.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:16942:16314.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:14129:7871.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:4104:16594.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:2619:12506.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:16869:12287.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:7153:21982.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:20721:24972.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:20003:4667.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:24508:15393.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:21140:19899.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:24235:22128.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:14461:18072.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:14944:22211.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:26616:18314.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:11455:22039.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:20433:15507.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:16625:12685.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:11380:12196.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:29206:15483.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10942:8791.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:21082:17846.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:14512:6671.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:26441:21915.1	1	0
