#seed_id	observation_name	observation_sum	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:2104:20600:22621.1	Cluster_41	26	26	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:4040:18130.1	Cluster_42	27	27	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:20671:24748.1	Cluster_43	90	90	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:15215:13212.1	Cluster_44	31	31	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:19575:6481.1	Cluster_45	37	37	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:24193:17132.1	Cluster_46	21	21	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:6792:10244.1	Cluster_47	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:3011:17563.1	Cluster_48	21	21	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:23161:16449.1	Cluster_49	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:3749:10859.1	Cluster_50	20	20	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:9586:6988.1	Cluster_51	27	27	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:25259:18624.1	Cluster_52	33	33	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:25342:19097.1	Cluster_53	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:12277:5732.1	Cluster_54	30	30	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:24955:6515.1	Cluster_55	24	24	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:12249:3811.1	Cluster_56	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:10636:11952.1	Cluster_57	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13318:13309.1	Cluster_58	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:13508:12371.1	Cluster_59	123	123	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:6920:11981.1	Cluster_60	22	22	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:12144:3486.1	Cluster_61	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:9255:6569.1	Cluster_62	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:15138:5195.1	Cluster_63	72	72	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:12454:18238.1	Cluster_64	28	28	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:13636:2810.1	Cluster_65	59	59	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:25995:14716.1	Cluster_66	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:5287:10775.1	Cluster_67	16	16	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:10109:25294.1	Cluster_68	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:10858:24145.1	Cluster_69	21	21	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:16575:4415.1	Cluster_70	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:21044:12199.1	Cluster_71	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:16943:4941.1	Cluster_72	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:23939:18780.1	Cluster_73	28	28	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:5063:18703.1	Cluster_74	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:5290:19386.1	Cluster_75	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:16311:10202.1	Cluster_76	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:23655:20965.1	Cluster_77	14	14	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:9585:15904.1	Cluster_78	70	70	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:12704:22378.1	Cluster_79	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:15163:20468.1	Cluster_80	24	24	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:18876:9665.1	Cluster_81	14	14	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:1875:14225.1	Cluster_82	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13890:18940.1	Cluster_83	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:23398:24339.1	Cluster_84	57	57	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:19433:12928.1	Cluster_85	18	18	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:20985:23482.1	Cluster_86	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:7970:12282.1	Cluster_87	33	33	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:25463:20351.1	Cluster_88	22	22	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:13854:3532.1	Cluster_89	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:9993:20172.1	Cluster_90	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:13667:8564.1	Cluster_91	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:13202:4007.1	Cluster_92	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:23114:22450.1	Cluster_93	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:25448:8945.1	Cluster_94	30	30	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:21720:7220.1	Cluster_95	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:26328:14765.1	Cluster_96	37	37	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:12998:15781.1	Cluster_97	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:7004:14451.1	Cluster_98	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:21183:10835.1	Cluster_99	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:12975:14233.1	Cluster_100	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:18244:12307.1	Cluster_101	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:14413:16500.1	Cluster_102	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:24601:20587.1	Cluster_103	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:25577:10626.1	Cluster_104	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:22638:8932.1	Cluster_105	16	16	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:8437:13446.1	Cluster_106	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:19345:4881.1	Cluster_107	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:20327:19866.1	Cluster_108	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:3819:11544.1	Cluster_109	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:4858:20332.1	Cluster_110	49	49	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:14300:3682.1	Cluster_111	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:22470:27340.1	Cluster_112	10	10	0
