level1	level2	level3	gene_family
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.112
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.113
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.114
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.115
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.116
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00062
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.117
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00063
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.118
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.119
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.120
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22215
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.121
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.122
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00064
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.123
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.124
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.125
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.126
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.127
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00065
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.129
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.130
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K08092
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.131
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.132
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00066
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.133
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00067
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K23987
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.134
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.135
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22252
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.136
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K02474
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13015
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22926
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.137
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K21680
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.138
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.140
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00068
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.141
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00069
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.142
